ARTYLUŁ;SWING;MODEL;NAZWA ARTYKU£U;LFB1;LFB3;LFB4;TRNS;Suma
40240239;800056;5;LINNMON tbl tp 120x60 grey;0;2916;0;0;2916
20240240;800231;4;LINNMON tbl tp 120x60 grey AP JP;0;216;0;0;216
240241;800057;4;LINNMON tbl tp 150x75 grey;0;26;0;0;26
70289941;800271;3;MALM headboard 160 white;0;260;0;0;260
50289942;800271;1;MALM headboard 90 white;0;230;0;0;230
10344511;800297;13;MARNARDAL door 50x195 flower patterned;0;190;0;0;190
346780;800298;13;MARNARDAL door 50x195 flower patterned AP JP;0;38;0;0;38
50344509;800297;5;MARNARDAL door 50x195 net pattern white/beige;0;152;0;0;152
40346778;800298;5;MARNARDAL door 50x195 net pattern white/beige AP JP;0;152;0;0;152
50346787;800298;7;MARNARDAL door 50x195 net pattern white/light blue AP JP;0;114;0;0;114
70344513;800297;9;MARNARDAL door 50x195 patterned dark blue/white;0;418;0;0;418
20346784;800298;9;MARNARDAL door 50x195 patterned dark blue/white AP JP;0;38;0;0;38
20344515;800297;11;MARNARDAL door 50x195 patterned white/beige;0;456;0;0;456
90346790;800298;11;MARNARDAL door 50x195 patterned white/beige AP JP;0;152;0;0;152
90344512;800297;3;MARNARDAL door 50x195 striped beige/white;0;342;0;0;342
60346782;800298;3;MARNARDAL door 50x195 striped beige/white AP JP;0;152;0;0;152
70344301;800297;1;MARNARDAL door 50x195 striped white/beige;0;190;0;0;190
346775;800298;1;MARNARDAL door 50x195 striped white/beige AP JP;0;76;0;0;76
20344520;800297;14;MARNARDAL door 50x229 flower patterned;0;646;0;0;646
60344518;800297;6;MARNARDAL door 50x229 net pattern white/beige;0;874;0;0;874
60344523;800297;8;MARNARDAL door 50x229 net pattern white/light blue;0;190;0;0;190
80344522;800297;10;MARNARDAL door 50x229 patterned dark blue/white;0;38;0;0;38
90346785;800298;10;MARNARDAL door 50x229 patterned dark blue/white AP JP;0;38;0;0;38
344516;800297;12;MARNARDAL door 50x229 patterned white/beige;0;76;0;0;76
70346791;800298;12;MARNARDAL door 50x229 patterned white/beige AP JP;0;342;0;0;342
344521;800297;4;MARNARDAL door 50x229 striped beige/white;0;38;0;0;38
40346783;800298;4;MARNARDAL door 50x229 striped beige/white AP JP;0;190;0;0;190
80344517;800297;2;MARNARDAL door 50x229 striped white/beige;0;304;0;0;304
80346776;800298;2;MARNARDAL door 50x229 striped white/beige AP JP;0;114;0;0;114
60344716;800294;9;SVORKMO slid doors pair 150x201 net pattern white/beige;0;520;0;0;520
60346800;800295;9;SVORKMO slid doors pair 150x201 net pattern white/beige AP JP;0;280;0;0;280
20344718;800294;17;SVORKMO slid doors pair 150x201 net pattern white/light blue;0;320;0;0;320
70346809;800295;17;SVORKMO slid doors pair 150x201 net pattern white/light blue AP JP;0;170;0;0;170
40344717;800294;13;SVORKMO slid doors pair 150x201 net pattern white/orange;0;510;0;0;510
50346805;800295;13;SVORKMO slid doors pair 150x201 net pattern white/orange AP JP;0;200;0;0;200
80344720;800294;25;SVORKMO slid doors pair 150x201 patterned beige/white;0;180;0;0;180
80346818;800295;25;SVORKMO slid doors pair 150x201 patterned beige/white AP JP;0;280;0;0;280
344719;800294;21;SVORKMO slid doors pair 150x201 patterned dark blue/white;0;160;0;0;160
70346814;800295;21;SVORKMO slid doors pair 150x201 patterned dark blue/white AP JP;0;130;0;0;130
60344721;800294;5;SVORKMO slid doors pair 150x201 striped beige/white;0;220;0;0;220
60346796;800295;5;SVORKMO slid doors pair 150x201 striped beige/white AP JP;0;60;0;0;60
40344722;800294;1;SVORKMO slid doors pair 150x201 striped white/beige;0;170;0;0;170
50346792;800295;1;SVORKMO slid doors pair 150x201 striped white/beige AP JP;0;140;0;0;140
70344725;800294;18;SVORKMO slid doors pair 150x236 net pattern white/light blue;0;350;0;0;350
344724;800294;14;SVORKMO slid doors pair 150x236 net pattern white/orange;0;30;0;0;30
10346807;800295;14;SVORKMO slid doors pair 150x236 net pattern white/orange AP JP;0;130;0;0;130
30344727;800294;26;SVORKMO slid doors pair 150x236 patterned beige/white;0;160;0;0;160
40346820;800295;26;SVORKMO slid doors pair 150x236 patterned beige/white AP JP;0;80;0;0;80
50344726;800294;22;SVORKMO slid doors pair 150x236 patterned dark blue/white;0;360;0;0;360
20346816;800295;22;SVORKMO slid doors pair 150x236 patterned dark blue/white AP JP;0;190;0;0;190
40344699;800294;6;SVORKMO slid doors pair 150x236 striped beige/white;0;90;0;0;90
20346798;800295;6;SVORKMO slid doors pair 150x236 striped beige/white AP JP;0;10;0;0;10
10346794;800295;2;SVORKMO slid doors pair 150x236 striped white/beige AP JP;0;70;0;0;70
80344701;800294;11;SVORKMO slid doors pair 200x201 net pattern white/beige;0;126;0;0;126
40346801;800295;11;SVORKMO slid doors pair 200x201 net pattern white/beige AP JP;0;120;0;0;120
80344777;800294;19;SVORKMO slid doors pair 200x201 net pattern white/light blue;0;30;0;0;30
60344702;800294;15;SVORKMO slid doors pair 200x201 net pattern white/orange;0;78;0;0;78
90344705;800294;27;SVORKMO slid doors pair 200x201 patterned beige/white;0;162;0;0;162
60346819;800295;27;SVORKMO slid doors pair 200x201 patterned beige/white AP JP;0;132;0;0;132
20344704;800294;23;SVORKMO slid doors pair 200x201 patterned dark blue/white;0;144;0;0;144
40346815;800295;23;SVORKMO slid doors pair 200x201 patterned dark blue/white AP JP;0;174;0;0;174
80344715;800294;7;SVORKMO slid doors pair 200x201 striped beige/white;0;24;0;0;24
